EmployeeID,Age,Gender,Department,JobRole,Education,EducationField,MonthlyIncome,HourlyRate,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,JobLevel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,MaritalStatus,DistanceFromHome,NumCompaniesWorked,TrainingTimesLastYear,StockOptionLevel,RelationshipSatisfaction,Absenteeism,LastPerformanceScore,PromotionLast5Years,Attrition
E001,28,Male,Sales,Sales Executive,3,Marketing,35000,65,12,5,3,2,1,2,2,3,3,2,3,Yes,Single,10,1,3,1,3,4,3,0,Yes
E002,45,Female,R&D,Research Scientist,4,Life Sciences,78000,80,15,20,15,10,5,12,4,4,4,3,4,No,Married,5,2,4,2,4,2,4,1,No
E003,32,Male,HR,HR Manager,3,Human Resources,50000,72,10,8,6,4,2,5,3,2,3,3,3,Yes,Single,18,3,2,0,2,5,2,0,Yes
E004,39,Female,Sales,Sales Manager,4,Marketing,90000,90,18,15,12,8,4,9,4,4,4,2,4,No,Married,7,2,5,3,4,1,4,2,No
E005,26,Male,R&D,Laboratory Technician,2,Life Sciences,30000,60,8,3,2,1,0,1,1,2,2,3,3,Yes,Single,20,1,1,0,3,6,2,1,Yes
E006,41,Female,R&D,Manufacturing Director,4,Engineering,85000,88,14,18,10,7,3,8,4,4,4,2,4,No,Married,6,1,3,3,4,0,4,3,No
E007,35,Male,IT,Software Engineer,3,Computer Science,70000,75,11,10,7,5,2,6,3,3,3,2,3,Yes,Married,12,2,4,1,3,3,3,1,Yes
E008,29,Female,Finance,Financial Analyst,3,Finance,52000,68,9,6,4,3,1,3,2,3,3,3,3,No,Single,9,1,2,1,3,2,3,0,No
E009,50,Male,Operations,Operations Manager,4,Management,95000,95,20,25,20,15,7,18,5,4,4,3,4,No,Married,4,3,5,3,4,0,5,4,No
E010,31,Female,Sales,Sales Executive,3,Marketing,42000,70,10,7,5,3,1,4,2,2,3,2,3,Yes,Single,15,2,2,0,3,4,2,1,Yes
